127.0.0.1, 2011-12-23 00:34:50, GET, /admin/default/design/jmtws, HTTP/1.1, 200, 0.054931
127.0.0.1, 2011-12-23 00:34:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000400
127.0.0.1, 2011-12-23 00:34:52, GET, /jmtws/appadmin/index, HTTP/1.1, 200, 0.484054
127.0.0.1, 2011-12-23 00:34:53, GET, /jmtws/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000214
127.0.0.1, 2011-12-23 00:34:53, GET, /jmtws/static/js/jquery.js, HTTP/1.1, 200, 0.000171
127.0.0.1, 2011-12-23 00:34:53, GET, /jmtws/static/css/calendar.css, HTTP/1.1, 200, 0.000173
127.0.0.1, 2011-12-23 00:34:53, GET, /jmtws/static/js/calendar.js, HTTP/1.1, 200, 0.000409
127.0.0.1, 2011-12-23 00:34:53, GET, /jmtws/static/js/web2py.js, HTTP/1.1, 200, 0.000402
127.0.0.1, 2011-12-23 00:34:53, GET, /jmtws/static/css/skeleton.css, HTTP/1.1, 200, 0.000403
127.0.0.1, 2011-12-23 00:34:53, GET, /jmtws/static/css/web2py.css, HTTP/1.1, 200, 0.000411
127.0.0.1, 2011-12-23 00:34:53, GET, /jmtws/static/css/superfish.css, HTTP/1.1, 200, 0.000417
127.0.0.1, 2011-12-23 00:34:53, GET, /jmtws/static/js/superfish.js, HTTP/1.1, 200, 0.000406
127.0.0.1, 2011-12-23 00:34:54, GET, /jmtws/static/images/poweredby.png, HTTP/1.1, 200, 0.000418
127.0.0.1, 2011-12-23 00:34:54, GET, /jmtws/static/favicon.ico, HTTP/1.1, 200, 0.000467
127.0.0.1, 2011-12-23 00:35:01, GET, /jmtws/appadmin/select/db, HTTP/1.1, 200, 0.039299
127.0.0.1, 2011-12-23 00:35:05, POST, /jmtws/appadmin/select/db, HTTP/1.1, 200, 0.074099
127.0.0.1, 2011-12-23 00:35:10, GET, /admin/default/design/jmtws, HTTP/1.1, 200, 0.044546
127.0.0.1, 2011-12-23 00:35:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000417
127.0.0.1, 2011-12-23 00:35:25, GET, /admin/default/edit/jmtws/views/default/index.html, HTTP/1.1, 200, 0.021305
127.0.0.1, 2011-12-23 00:35:25, GET, /admin/static/edit_area/reg_syntax/html.js, HTTP/1.1, 200, 0.000213
127.0.0.1, 2011-12-23 00:35:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2011-12-23 00:35:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2011-12-23 00:35:25, GET, /admin/static/edit_area/plugins/zencoding/zencoding.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2011-12-23 00:35:25, GET, /admin/static/edit_area/plugins/zencoding/langs/en.js, HTTP/1.1, 200, 0.000471
127.0.0.1, 2011-12-23 00:35:26, GET, /admin/static/edit_area/plugins/zencoding/core.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2011-12-23 00:35:31, GET, /admin/default/design/jmtws, HTTP/1.1, 200, 0.041279
127.0.0.1, 2011-12-23 00:35:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000451
127.0.0.1, 2011-12-23 00:35:34, GET, /admin/default/edit/jmtws/views/layout.html, HTTP/1.1, 200, 0.018504
127.0.0.1, 2011-12-23 00:35:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000214
127.0.0.1, 2011-12-23 00:35:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000152
127.0.0.1, 2011-12-23 00:35:44, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.019394
127.0.0.1, 2011-12-23 00:36:09, GET, /admin/default/design/jmtws, HTTP/1.1, 200, 0.043420
127.0.0.1, 2011-12-23 00:36:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000170
127.0.0.1, 2011-12-23 00:36:14, GET, /admin/default/edit/jmtws/models/menu.py, HTTP/1.1, 200, 0.020551
127.0.0.1, 2011-12-23 00:36:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000397
127.0.0.1, 2011-12-23 00:36:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000352
127.0.0.1, 2011-12-23 00:36:20, GET, /admin/default/design/jmtws, HTTP/1.1, 200, 0.048143
127.0.0.1, 2011-12-23 00:36:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000409
127.0.0.1, 2011-12-23 00:36:24, GET, /jmtws/default/index, HTTP/1.1, 200, 0.031019
127.0.0.1, 2011-12-23 00:36:24, GET, /jmtws/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000445
127.0.0.1, 2011-12-23 00:36:24, GET, /jmtws/static/images/shadow.png, HTTP/1.1, 200, 0.000405
127.0.0.1, 2011-12-23 00:36:45, GET, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.025062
127.0.0.1, 2011-12-23 00:36:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000174
127.0.0.1, 2011-12-23 00:36:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000374
127.0.0.1, 2011-12-23 00:36:55, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.014069
127.0.0.1, 2011-12-23 00:39:00, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.014917
127.0.0.1, 2011-12-23 00:39:02, GET, /admin/default/edit/jmtws/views/default/index.html, HTTP/1.1, 200, 0.029482
127.0.0.1, 2011-12-23 00:39:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2011-12-23 00:39:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000166
127.0.0.1, 2011-12-23 00:39:08, GET, /jmtws/default/index, HTTP/1.1, 200, 0.032492
127.0.0.1, 2011-12-23 00:41:38, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.019052
127.0.0.1, 2011-12-23 00:41:51, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.015220
127.0.0.1, 2011-12-23 00:41:57, GET, /jmtws/default/api, HTTP/1.1, 400, 0.022580
127.0.0.1, 2011-12-23 00:41:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000158
127.0.0.1, 2011-12-23 00:45:52, GET, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.020507
127.0.0.1, 2011-12-23 00:45:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000165
127.0.0.1, 2011-12-23 00:45:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000353
127.0.0.1, 2011-12-23 00:46:01, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.047004
